product Description,URL,Unit Price,Quantity,Total
2200mAh 3S liPo battery,https://www.amazon.com/Venom-2200mAh-Battery-Universal-Traxxas/dp/B00FE0OHKK/ref=sr_1_7?ie=UTF8&qid=1518210302&sr=8-7&keywords=2200mah+3s+lipo,37.98,1,37.98
1Kg Spool of ABS filament,https://www.amazon.com/HATCHBOX-3D-Filament-Dimensional-Accuracy/dp/B01A1BHJYC/ref=sr_1_5?s=industrial&ie=UTF8&qid=1518210470&sr=1-5&keywords=hatchbox+abs+3mm,23.99,1,23.99
300 RPM MicroGear DC motor,https://www.amazon.com/gp/product/B0719DKFYY/ref=oh_aui_detailpage_o05_s01?ie=UTF8&psc=1,8.8,4,35.2
10Amp Brushed ESC W/o Brake,https://www.amazon.com/Hobbypower-Brushed-Motor-Speed-Controller/dp/B00JXI3H6Y/ref=pd_sim_21_2?_encoding=UTF8&pd_rd_i=B00JXI3H6Y&pd_rd_r=DMRM9Y1RV7AANC0Q9X6W&pd_rd_w=eDur4&pd_rd_wg=h4kOA&psc=1&refRID=DMRM9Y1RV7AANC0Q9X6W,13.99,1,13.99
Arduino UNO ,https://www.amazon.com/Elegoo-EL-CB-001-ATmega328P-ATMEGA16U2-Arduino/dp/B01EWOE0UU/ref=sr_1_2_sspa?s=toys-and-games&ie=UTF8&qid=1518210746&sr=1-2-spons&keywords=arduino+uno&psc=1,10.9,1,10.9
Raspberry Pi 3 Model B,https://www.amazon.com/Raspberry-Pi-RASPBERRYPI3-MODB-1GB-Model-Motherboard/dp/B01CD5VC92/ref=sr_1_4?s=electronics&ie=UTF8&qid=1518210788&sr=1-4&keywords=raspberry+pi+3,36.38,1,36.38
M5 Nylon Lock Nut,https://www.amazon.com/0-8mm-Stainless-Steel-Nylock-Insert/dp/B012T3IYKS/ref=sr_1_3?ie=UTF8&qid=1518211009&sr=8-3&keywords=M5+locknut,6.53,1,6.53
M5x12mm Steel Button Head Screw,https://www.amazon.com/uxcell-Alloy-Socket-Button-Screws/dp/B019ETJWEC/ref=sr_1_3?s=industrial&ie=UTF8&qid=1518211066&sr=1-3&keywords=m5+x+12mm,9.02,1,9.02
Logitech HD PRO Webcam,https://www.amazon.com/Logitech-Widescreen-Calling-Recording-Desktop/dp/B006JH8T3S/ref=sr_1_1?ie=UTF8&qid=1519328810&sr=8-1&keywords=logitech+camera,99.99,1,99.99
Lipo Battery Charger,https://www.amazon.com/HOBBYMATE-Battery-Balance-Charger-Adapter/dp/B01NB9A36R/ref=sr_1_4?ie=UTF8&qid=1523545602&sr=8-4&keywords=lipo+battery+charger,39.9,1,39.9
10 Pack T-Plug Deans Connector,https://www.amazon.com/Hobbypark-T-Plug-Connectors-Battery-Electric/dp/B01C8NWJ78/ref=sr_1_6?ie=UTF8&qid=1523545795&sr=8-6&keywords=deans+connector,6.99,1,6.99
Nylon M3-M2 Scews,https://www.amazon.com/NALAKUVARA-Spacers-Stand-off-Accessories-Assortment/dp/B01DD07PTW/ref=sr_1_1_sspa?ie=UTF8&qid=1523546003&sr=8-1-spons&keywords=nylon+m3+screws&psc=1,12.99,1,12.99
BaneBots 1 7/8 Wheels,https://www.amazon.com/Banebots-Wheel-Mount-Black-Orange/dp/B01BD9JWCI/ref=sr_1_3?ie=UTF8&qid=1523549588&sr=8-3&keywords=banebots+wheels,2.89,4,11.56
,,,,
,,,,
,,,,345.42
